num err_solve error_abs time
30 7.9088547825547857e-06 8.2536531325657009e-08 72.82679295539856
9 2.1763111448813391e-07 3.6803981335399074e-09 0.9202990531921387
23 2.3971510904511803e-07 4.0439540844968428e-09 31.75804591178894
22 3.6570186065053784e-07 3.7847799081747015e-09 27.06620693206787
29 288274.09329103702 4854.1481430268004 65.3143789768219
23 4.7216401239747472e-07 4.9379183487763928e-09 28.679813861846924
12 5.736534461044416e-08 8.9589901276029458e-10 2.6776139736175537
7 1.5566272377384846e-07 9.002478237271695e-09 0.33345603942871094
5 1.4439607466686786e-09 6.4676914189775013e-11 0.10141992568969727
19 1.0234769402766009e-07 1.1568443439657136e-09 13.901784896850586
25 2.1321009492067e-06 1.8867200258031372e-08 43.245908975601196
4 1.0942671228330858e-08 1.1759532463621329e-09 0.048657894134521484
5 3.7783397661944601e-07 1.820620534727261e-08 0.07780003547668457
8 2.8141007369165812e-07 5.3571538970023875e-09 0.577815055847168
5 1.3845400493404841e-08 4.841566221068664e-10 0.08147692680358887
